own_it,card_number,card_name,rarity,exclusive_pack,type,hp,stage,pack_points,retreat_cost__effect,how_to_get
,A1 001,Bulbasaur,◇,Genetic Apex (A1)Mewtwo,Grass,70,Basic,35  Pts,"{""stage"": ""Basic"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Vine Whip"", ""img_alts"": [""Grass"", ""Colorless""], ""description"": ""40""}]}",Open Genetic Apex (A1) Mewtwo packs
,A1 002,Ivysaur,◇◇,Genetic Apex (A1)Mewtwo,Grass,90,Stage 1,70  Pts,"{""stage"": ""Stage 1"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Razor Leaf"", ""img_alts"": [""Grass"", ""Colorless 2""], ""description"": ""40""}]}",Open Genetic Apex (A1) Mewtwo packs
,A1 003,Venusaur,◇◇◇,Genetic Apex (A1)Mewtwo,Grass,160,Stage 2,150  Pts,"{""stage"": ""Stage 2"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Mega Drain"", ""img_alts"": [""Grass 2"", ""Colorless 2""], ""description"": ""80 Heal 30 damage from this Pokemon.""}]}",Open Genetic Apex (A1) Mewtwo packs
,A1 004,Venusaur ex,◇◇◇◇,Genetic Apex (A1)Mewtwo,Grass,190,Stage 2,500  Pts,"{""stage"": ""Stage 2"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Razor Leaf"", ""img_alts"": [""Grass"", ""Colorless 2""], ""description"": ""60""}, {""name"": ""Giant Bloom"", ""img_alts"": [""Grass 2"", ""Colorless 2""], ""description"": ""100 Heal 30 damage from this Pokemon.""}]}",Open Genetic Apex (A1) Mewtwo packs
,A1 005,Caterpie,◇,Genetic Apex (A1)Pikachu,Grass,50,Basic,35  Pts,"{""stage"": ""Basic"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Find a Friend"", ""img_alts"": [""Colorless""], ""description"": ""Put 1 random Grass Pokemon from your deck into your hand.""}]}",Open Genetic Apex (A1) Pikachu packs
,A1 006,Metapod,◇,Genetic Apex (A1)Pikachu,Grass,80,Stage 1,35  Pts,"{""stage"": ""Stage 1"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Bug Bite"", ""img_alts"": [""Colorless 2""], ""description"": ""30""}]}",Open Genetic Apex (A1) Pikachu packs
,A1 007,Butterfree,◇◇◇,Genetic Apex (A1)Pikachu,Grass,120,Stage 2,150  Pts,"{""stage"": ""Stage 2"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": ""Powder Heal"", ""ability_text"": ""Powder Heal Once during your turn, you may heal 20 damage from each of your Pokemon."", ""attacks"": [{""name"": ""Gust"", ""img_alts"": [""Grass"", ""Colorless 2""], ""description"": ""60""}]}",Open Genetic Apex (A1) Pikachu packs
,A1 008,Weedle,◇,Genetic Apex (A1)Mewtwo,Grass,50,Basic,35  Pts,"{""stage"": ""Basic"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Sting"", ""img_alts"": [""Grass""], ""description"": ""20""}]}",Open Genetic Apex (A1) Mewtwo packs
,A1 009,Kakuna,◇,Genetic Apex (A1)Mewtwo,Grass,80,Stage 1,35  Pts,"{""stage"": ""Stage 1"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Bug Bite"", ""img_alts"": [""Grass""], ""description"": ""30""}]}",Open Genetic Apex (A1) Mewtwo packs
,A1 010,Beedrill,◇◇◇,Genetic Apex (A1)Mewtwo,Grass,120,Stage 2,150  Pts,"{""stage"": ""Stage 2"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Sharp Sting"", ""img_alts"": [""Grass""], ""description"": ""70""}]}",Open Genetic Apex (A1) Mewtwo packs
,A1 011,Oddish,◇,Genetic Apex (A1)Charizard,Grass,60,Basic,35  Pts,"{""stage"": ""Basic"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Ram"", ""img_alts"": [""Grass""], ""description"": ""20""}]}",Open Genetic Apex (A1) Charizard packs
